Date,City,Country,Venue,Opening acts,Attendance,Revenue,Venue_Capacity,Tour_ID,Venue_ID,Album_Name,Latitude,Longitude
2013-04-25,Cleveland,United States,Quicken Loans Arena,"Ed Sheeran
Brett Eldredge",15336.0,1247605.0,15336.0,3,169,nan,,
2013-04-26,Indianapolis,United States,Bankers Life Fieldhouse,"Ed Sheeran
Brett Eldredge",13573.0,1082042.0,13573.0,3,29,nan,,
2013-04-27,Lexington,United States,Rupp Arena,"Ed Sheeran
Brett Eldredge",17003.0,1342699.0,17003.0,3,180,nan,,
2013-05-04,Detroit,United States,Ford Field,"Ed Sheeran
Austin Mahone
Brett Eldredge",48265.0,3969059.0,48265.0,3,79,nan,,
2013-05-07,Louisville,United States,Kfc Yum! Center,"Ed Sheeran
Florida Georgia Line",15135.0,1246491.0,15135.0,3,105,nan,,
2013-05-08,Columbus,United States,Nationwide Arena,"Ed Sheeran
Florida Georgia Line",14267.0,1155170.0,14267.0,3,139,nan,,
2013-05-11,"Washington, D.C.",United States,Verizon Center,"Ed Sheeran
Brett Eldredge",13810.0,1244603.0,13810.0,3,226,nan,,
2013-05-12,"Washington, D.C.",United States,Verizon Center,"Ed Sheeran
Brett Eldredge",13809.0,1244602.0,13809.0,3,226,nan,,
2013-05-16,Houston,United States,Toyota Center,"Ed Sheeran
Brett Eldredge",12467.0,961422.0,12467.0,3,215,nan,,
2013-05-21,Austin,United States,Frank Erwin Center,"Ed Sheeran
Florida Georgia Line",11916.0,935631.0,11916.0,3,82,nan,,
2013-05-22,San Antonio,United States,At&T Center,"Ed Sheeran
Florida Georgia Line",13974.0,1105253.0,13974.0,3,24,nan,,
2013-05-25,Arlington,United States,Cowboys Stadium,"Ed Sheeran
Austin Mahone
Florida Georgia Line",53020.0,4589266.0,53020.0,3,61,nan,,
2013-05-28,Glendale,United States,Jobing.Com Arena,"Ed Sheeran
Joel Crouse",13353.0,1119685.0,13353.0,3,101,nan,,
2013-05-29,Glendale,United States,Jobing.Com Arena,"Ed Sheeran
Joel Crouse",13352.0,1119685.0,13352.0,3,101,nan,,
2013-06-01,Salt Lake City,United States,Energysolutions Arena,"Ed Sheeran
Joel Crouse",14007.0,1139360.0,14007.0,3,64,nan,,
2013-06-02,Denver,United States,Pepsi Center,"Ed Sheeran
Joel Crouse",13489.0,1076069.0,13489.0,3,160,nan,,
2013-06-14,Toronto,Canada,Rogers Centre,"Ed Sheeran
Austin Mahone
Joel Crouse",43814.0,3931655.0,43814.0,3,177,nan,,
2013-06-15,Toronto,Canada,Rogers Centre,"Ed Sheeran
Austin Mahone
Joel Crouse",43813.0,3931655.0,43813.0,3,177,nan,,
2013-06-22,Winnipeg,Canada,Investors Group Field,"Ed Sheeran
Austin Mahone
Joel Crouse",33061.0,3175430.0,33061.0,3,98,nan,,
2013-06-25,Edmonton,Canada,Rexall Place,"Ed Sheeran
Joel Crouse",12832.0,1189935.0,12832.0,3,173,nan,,
2013-06-26,Edmonton,Canada,Rexall Place,"Ed Sheeran
Joel Crouse",12831.0,1189935.0,12831.0,3,173,nan,,
2013-06-29,Vancouver,Canada,Bc Place Stadium,"Ed Sheeran
Austin Mahone
Joel Crouse",41142.0,3974410.0,41142.0,3,32,nan,,
2013-07-06,Pittsburgh,United States,Heinz Field,"Ed Sheeran
Austin Mahone
Joel Crouse",56047.0,4718518.0,56047.0,3,92,nan,,
2013-07-13,East Rutherford,United States,Metlife Stadium,"Ed Sheeran
Austin Mahone
Joel Crouse",52399.0,4670011.0,52399.0,3,129,nan,,
2013-07-19,Philadelphia,United States,Lincoln Financial Field,"Ed Sheeran
Austin Mahone
Joel Crouse",50639.0,4411168.0,50639.0,3,111,nan,,
2013-07-20,Philadelphia,United States,Lincoln Financial Field,"Ed Sheeran
Austin Mahone
Joel Crouse",50638.0,4411167.0,50638.0,3,111,nan,,
2013-07-26,Foxborough,United States,Gillette Stadium,"Ed Sheeran
Austin Mahone
Joel Crouse",55356.0,4732032.0,55356.0,3,88,nan,,
2013-07-27,Foxborough,United States,Gillette Stadium,"Ed Sheeran
Austin Mahone
Joel Crouse",55356.0,4732031.0,55356.0,3,88,nan,,
2013-08-01,Des Moines,United States,Wells Fargo Arena,"Ed Sheeran
Florida Georgia Line",13368.0,1075576.0,13368.0,3,230,nan,,
2013-08-02,Kansas City,United States,Sprint Center,"Ed Sheeran
Florida Georgia Line",13206.0,1046586.0,13206.0,3,197,nan,,
2013-08-03,Kansas City,United States,Sprint Center,"Ed Sheeran
Florida Georgia Line",13206.0,1046586.0,13206.0,3,197,nan,,
2013-08-06,Wichita,United States,Intrust Bank Arena,"Ed Sheeran
Casey James",12231.0,983882.0,12231.0,3,97,nan,,
2013-08-07,Tulsa,United States,Bok Center,"Ed Sheeran
Casey James",10949.0,868955.0,10949.0,3,38,nan,,
2013-08-10,Chicago,United States,Soldier Field,"Ed Sheeran
Austin Mahone
Casey James",50809.0,4149148.0,50809.0,3,192,nan,,
2013-08-15,San Diego,United States,Valley View Casino Center,"Ed Sheeran
Casey James",10872.0,948541.0,10872.0,3,220,nan,,
2013-08-19,Los Angeles,United States,Staples Center,"Ed Sheeran
Casey James",13958.0,1183616.0,13958.0,3,0,nan,,
2013-08-20,Los Angeles,United States,Staples Center,"Ed Sheeran
Casey James",13957.0,1183616.0,13957.0,3,0,nan,,
2013-08-23,Los Angeles,United States,Staples Center,"Ed Sheeran
Casey James",13957.0,1183616.0,13957.0,3,0,nan,,
2013-08-24,Los Angeles,United States,Staples Center,"Ed Sheeran
Casey James",13957.0,1183615.0,13957.0,3,0,nan,,
2013-08-27,Sacramento,United States,Sleep Train Arena,"Ed Sheeran
Casey James",12795.0,1138103.0,12795.0,3,189,nan,,
2013-08-30,Portland,United States,Moda Center,"Ed Sheeran
Casey James",13952.0,1084760.0,13952.0,3,132,nan,,
2013-08-31,Tacoma,United States,Tacoma Dome,"Ed Sheeran
Casey James",20348.0,1584049.0,20348.0,3,203,nan,,
2013-09-06,Fargo,United States,Fargodome,"Ed Sheeran
Casey James",21073.0,1661578.0,21073.0,3,71,nan,,
2013-09-07,Saint Paul,United States,Xcel Energy Center,"Ed Sheeran
Casey James",14460.0,1160469.0,14460.0,3,234,nan,,
2013-09-08,Saint Paul,United States,Xcel Energy Center,"Ed Sheeran
Casey James",14460.0,1160468.0,14460.0,3,234,nan,,
2013-09-12,Greensboro,United States,Greensboro Coliseum,"Ed Sheeran
Casey James",13650.0,1109253.0,13650.0,3,89,nan,,
2013-09-13,Raleigh,United States,Pnc Arena,"Ed Sheeran
Casey James",13941.0,1088612.0,13941.0,3,164,nan,,
2013-09-14,Charlottesville,United States,John Paul Jones Arena,"Ed Sheeran
Casey James",12689.0,997216.0,12689.0,3,103,nan,,
2013-09-19,Nashville,United States,Bridgestone Arena,"Ed Sheeran
Casey James",13764.0,1112182.0,13764.0,3,40,nan,,
2013-09-20,Nashville,United States,Bridgestone Arena,"Ed Sheeran
Casey James",13764.0,1112182.0,13764.0,3,40,nan,,
2013-09-21,Nashville,United States,Bridgestone Arena,"Ed Sheeran
Casey James",13764.0,1112181.0,13764.0,3,40,nan,,
2013-11-29,Auckland,New Zealand,Vector Arena,,10267.0,1033430.0,10267.0,3,223,nan,,
2013-11-30,Auckland,New Zealand,Vector Arena,,10266.0,1033430.0,10266.0,3,223,nan,,
2013-12-01,Auckland,New Zealand,Vector Arena,,10266.0,1033430.0,10266.0,3,223,nan,,
2013-12-04,Sydney,Australia,Allianz Stadium,,40930.0,4096060.0,40930.0,3,10,nan,,
2013-12-07,Brisbane,Australia,Suncorp Stadium,,38907.0,3895810.0,38907.0,3,202,nan,,
2013-12-11,Perth,Australia,Nib Stadium,,21827.0,2364080.0,21827.0,3,142,nan,,
2013-12-14,Melbourne,Australia,Etihad Stadium,,47257.0,4547250.0,47257.0,3,70,nan,,
2014-02-01,London,England,The O2 Arena,,14948.0,1165848.0,14948.0,3,209,nan,,
2014-02-02,London,England,The O2 Arena,,14948.0,1165848.0,14948.0,3,209,nan,,
2014-02-04,London,England,The O2 Arena,,14948.0,1165848.0,14948.0,3,209,nan,,
2014-02-07,Berlin,Germany,O2 World,,10350.0,755006.0,10350.0,3,148,nan,,
2014-02-10,London,England,The O2 Arena,,14948.0,1165848.0,14948.0,3,209,nan,,
2014-02-11,London,England,The O2 Arena,,14948.0,1165848.0,14948.0,3,209,nan,,
2014-05-30,Shanghai,China,Mercedes-Benz Arena,,12793.0,1864934.0,12793.0,3,125,nan,,
2014-06-01,Saitama,Japan,Saitama Super Arena,,20046.0,1837147.0,20046.0,3,181,nan,,
2014-06-04,Jakarta,Indonesia,Meis Ancol,,8130.0,1481473.0,8130.0,3,122,nan,,
2014-06-06,Pasay,Philippines,Mall Of Asia Arena,,9775.0,1511662.0,9775.0,3,116,nan,,
2014-06-09,Singapore,Singapore,Singapore Indoor Stadium,,8172.0,1262040.0,8172.0,3,187,nan,,
2014-06-11,Kuala Lumpur,Malaysia,Putra Indoor Stadium,,7525.0,998608.0,7525.0,3,168,nan,,
2014-06-12,Singapore,Singapore,Singapore Indoor Stadium,,8172.0,1262040.0,8172.0,3,187,nan,,
2015-05-05,Tokyo,Japan,Tokyo Dome,—,50160.0,5293414.0,50160.0,4,213,nan,,
2015-05-06,Tokyo,Japan,Tokyo Dome,—,50160.0,5293414.0,50160.0,4,213,nan,,
2015-05-15,Winchester,United States,City Of Rock,—,,,,4,56,nan,,
2015-05-20,Bossier City,United States,Centurylink Center,Vance Joy,12459.0,1458197.0,12459.0,4,49,nan,,
2015-05-22,Baton Rouge,United States,Lsu Tiger Stadium,"Vance Joy
Shawn Mendes",50227.0,4119670.0,50227.0,4,112,nan,,
2015-05-30,Detroit,United States,Ford Field,"Vance Joy
Shawn Mendes",50703.0,5999690.0,50703.0,4,79,nan,,
2015-06-02,Louisville,United States,Kfc Yum! Center,Vance Joy,16242.0,1863281.0,16242.0,4,105,nan,,
2015-06-03,Cleveland,United States,Quicken Loans Arena,Vance Joy,15503.0,1732041.0,15503.0,4,169,nan,,
2015-06-06,Pittsburgh,United States,Heinz Field,"Vance Joy
Shawn Mendes",54801.0,5836926.0,54801.0,4,92,nan,,
2015-06-08,Charlotte,United States,Time Warner Cable Arena,Vance Joy,15024.0,1627798.0,15024.0,4,212,nan,,
2015-06-09,Raleigh,United States,Pnc Arena,Vance Joy,13886.0,1653762.0,13886.0,4,164,nan,,
2015-06-12,Philadelphia,United States,Lincoln Financial Field,"Vance Joy
Shawn Mendes",50526.0,5993908.0,50526.0,4,111,nan,,
2015-06-13,Philadelphia,United States,Lincoln Financial Field,"Vance Joy
Shawn Mendes",50526.0,5993908.0,50526.0,4,111,nan,,
2015-06-19,Cologne,Germany,Lanxess Arena,James Bay,14510.0,1027345.0,14510.0,4,107,nan,,
2015-06-20,Cologne,Germany,Lanxess Arena,James Bay,14510.0,1027345.0,14510.0,4,107,nan,,
2015-06-21,Amsterdam,Netherlands,Ziggo Dome,James Bay,11166.0,800829.0,11166.0,4,237,nan,,
2015-06-23,Glasgow,Scotland,Sse Hydro,Vance Joy,11021.0,1119300.0,11021.0,4,198,nan,,
2015-06-24,Manchester,England,Manchester Arena,Vance Joy,14773.0,1478760.0,14773.0,4,117,nan,,
2015-06-27,London,England,Hyde Park,—,,,,4,94,nan,,
2015-06-29,Dublin,Ireland,3Arena,Vance Joy,12594.0,987755.0,12594.0,4,1,nan,,
2015-06-30,Dublin,Ireland,3Arena,Vance Joy,12594.0,987755.0,12594.0,4,1,nan,,
2015-07-06,Ottawa,Canada,Canadian Tire Centre,Vance Joy,13480.0,1325480.0,13480.0,4,46,nan,,
2015-07-07,Montreal,Canada,Bell Centre,Vance Joy,14770.0,1499040.0,14770.0,4,33,nan,,
2015-07-10,East Rutherford,United States,Metlife Stadium,"Vance Joy
Shawn Mendes
Haim",55053.0,6711929.0,55053.0,4,129,nan,,
2015-07-11,East Rutherford,United States,Metlife Stadium,"Vance Joy
Shawn Mendes
Haim",55052.0,6711929.0,55052.0,4,129,nan,,
2015-07-13,"Washington, D.C.",United States,Nationals Park,"Vance Joy
Shawn Mendes
Haim",42507.0,4865298.0,42507.0,4,138,nan,,
2015-07-14,"Washington, D.C.",United States,Nationals Park,"Vance Joy
Shawn Mendes
Haim",42507.0,4865298.0,42507.0,4,138,nan,,
2015-07-18,Chicago,United States,Soldier Field,"Vance Joy
Shawn Mendes
Haim",55055.0,5734944.0,55055.0,4,192,nan,,
2015-07-19,Chicago,United States,Soldier Field,"Vance Joy
Shawn Mendes
Haim",55054.0,5734943.0,55054.0,4,192,nan,,
2015-07-24,Foxborough,United States,Gillette Stadium,"Vance Joy
Shawn Mendes
Haim",58425.0,6266583.0,58425.0,4,88,nan,,
2015-07-25,Foxborough,United States,Gillette Stadium,"Vance Joy
Shawn Mendes
Haim",58424.0,6266583.0,58424.0,4,88,nan,,
2015-08-01,Vancouver,Canada,Bc Place,"Vance Joy
Shawn Mendes",41463.0,4081820.0,41463.0,4,31,nan,,
2015-08-04,Edmonton,Canada,Rexall Place,Vance Joy,13267.0,1193540.0,13267.0,4,173,nan,,
2015-08-05,Edmonton,Canada,Rexall Place,Vance Joy,13267.0,1193540.0,13267.0,4,173,nan,,
2015-08-08,Seattle,United States,Centurylink Field,"Vance Joy
Shawn Mendes",55711.0,6050643.0,55711.0,4,51,nan,,
2015-08-14,Santa Clara,United States,Levi'S Stadium,"Vance Joy
Shawn Mendes",51070.0,6515573.0,51070.0,4,109,nan,,
2015-08-15,Santa Clara,United States,Levi'S Stadium,"Vance Joy
Shawn Mendes",51069.0,6515573.0,51069.0,4,109,nan,,
2015-08-17,Glendale,United States,Gila River Arena,Vance Joy,13260.0,1514814.0,13260.0,4,87,nan,,
2015-08-18,Glendale,United States,Gila River Arena,Vance Joy,13260.0,1514814.0,13260.0,4,87,nan,,
2015-08-21,Los Angeles,United States,Staples Center,"Vance Joy
Haim",14113.0,1792337.0,14113.0,4,0,nan,,
2015-08-22,Los Angeles,United States,Staples Center,"Vance Joy
Haim",14113.0,1792336.0,14113.0,4,0,nan,,
2015-08-24,Los Angeles,United States,Staples Center,"Vance Joy
Haim",14113.0,1792336.0,14113.0,4,0,nan,,
2015-08-25,Los Angeles,United States,Staples Center,"Vance Joy
Haim",14112.0,1792336.0,14112.0,4,0,nan,,
2015-08-26,Los Angeles,United States,Staples Center,"Vance Joy
Haim",14112.0,1792336.0,14112.0,4,0,nan,,
2015-08-29,San Diego,United States,Petco Park,"Vance Joy
Shawn Mendes",44710.0,5475237.0,44710.0,4,161,nan,,
2015-09-04,Salt Lake City,United States,Energysolutions Arena,Vance Joy,14131.0,1589686.0,14131.0,4,64,nan,,
2015-09-05,Denver,United States,Pepsi Center,Vance Joy,13563.0,1434496.0,13563.0,4,160,nan,,
2015-09-06,Denver,United States,Pepsi Center,Vance Joy,13563.0,1434495.0,13563.0,4,160,nan,,
2015-09-09,Houston,United States,Minute Maid Park,"Vance Joy
Shawn Mendes",40122.0,5202196.0,40122.0,4,130,nan,,
2015-09-11,Saint Paul,United States,Xcel Energy Center,Vance Joy,15042.0,1838288.0,15042.0,4,234,nan,,
2015-09-12,Saint Paul,United States,Xcel Energy Center,Vance Joy,15042.0,1838288.0,15042.0,4,234,nan,,
2015-09-13,Saint Paul,United States,Xcel Energy Center,Vance Joy,15042.0,1838287.0,15042.0,4,234,nan,,
2015-09-16,Indianapolis,United States,Bankers Life Fieldhouse,Vance Joy,14010.0,1550268.0,14010.0,4,29,nan,,
2015-09-17,Columbus,United States,Nationwide Arena,Vance Joy,14968.0,1684847.0,14968.0,4,139,nan,,
2015-09-18,Columbus,United States,Nationwide Arena,Vance Joy,14968.0,1684846.0,14968.0,4,139,nan,,
2015-09-21,Kansas City,United States,Sprint Center,Vance Joy,13929.0,1483779.0,13929.0,4,197,nan,,
2015-09-22,Kansas City,United States,Sprint Center,Vance Joy,13928.0,1483779.0,13928.0,4,197,nan,,
2015-09-25,Nashville,United States,Bridgestone Arena,"Vance Joy
Haim",14459.0,1677422.0,14459.0,4,40,nan,,
2015-09-26,Nashville,United States,Bridgestone Arena,"Vance Joy
Haim",14458.0,1677422.0,14458.0,4,40,nan,,
2015-09-28,St. Louis,United States,Scottrade Center,"Vance Joy
Haim",14844.0,1726470.0,14844.0,4,185,nan,,
2015-09-29,St. Louis,United States,Scottrade Center,"Vance Joy
Haim",14844.0,1726470.0,14844.0,4,185,nan,,
2015-10-02,Toronto,Canada,Rogers Centre,"Vance Joy
Shawn Mendes",49642.0,4335495.0,49642.0,4,177,nan,,
2015-10-03,Toronto,Canada,Rogers Centre,"Vance Joy
Shawn Mendes",49641.0,4335495.0,49641.0,4,177,nan,,
2015-10-08,Des Moines,United States,Wells Fargo Arena,Vance Joy,13969.0,1566321.0,13969.0,4,230,nan,,
2015-10-09,Omaha,United States,Centurylink Center Omaha,Vance Joy,14811.0,1560711.0,14811.0,4,50,nan,,
2015-10-10,Omaha,United States,Centurylink Center Omaha,Vance Joy,14811.0,1560710.0,14811.0,4,50,nan,,
2015-10-12,Fargo,United States,Fargodome,Vance Joy,21067.0,2219188.0,21067.0,4,71,nan,,
2015-10-17,Arlington,United States,At&T Stadium,"Vance Joy
Shawn Mendes",62630.0,7396733.0,62630.0,4,25,nan,,
2015-10-20,Lexington,United States,Rupp Arena,Vance Joy,17084.0,1870471.0,17084.0,4,180,nan,,
2015-10-21,Greensboro,United States,Greensboro Coliseum,Vance Joy,15079.0,1662171.0,15079.0,4,89,nan,,
2015-10-24,Atlanta,United States,Georgia Dome,"Vance Joy
Shawn Mendes",56046.0,6034846.0,56046.0,4,86,nan,,
2015-10-27,Miami,United States,American Airlines Arena,Vance Joy,14044.0,1527919.0,14044.0,4,13,nan,,
2015-10-31,Tampa,United States,Raymond James Stadium,"Vance Joy
Shawn Mendes",56987.0,6202515.0,56987.0,4,171,nan,,
2015-11-07,Singapore,Singapore,Singapore Indoor Stadium,—,8863.0,1608785.0,8863.0,4,187,nan,,
2015-11-08,Singapore,Singapore,Singapore Indoor Stadium,—,8863.0,1608784.0,8863.0,4,187,nan,,
2015-11-10,Shanghai,China,Mercedes-Benz Arena,—,12586.0,1972450.0,12586.0,4,125,nan,,
2015-11-11,Shanghai,China,Mercedes-Benz Arena,—,12586.0,1972449.0,12586.0,4,125,nan,,
2015-11-12,Shanghai,China,Mercedes-Benz Arena,—,12586.0,1972449.0,12586.0,4,125,nan,,
2015-11-28,Sydney,Australia,Anz Stadium,Vance Joy,75980.0,6571683.0,75980.0,4,20,nan,,
2015-12-05,Brisbane,Australia,Suncorp Stadium,Vance Joy,46881.0,4759471.0,46881.0,4,202,nan,,
2015-12-07,Adelaide,Australia,Adelaide Entertainment Centre,Vance Joy,10045.0,1203750.0,10045.0,4,6,nan,,
2015-12-08,Adelaide,Australia,Adelaide Entertainment Centre,Vance Joy,10045.0,1203749.0,10045.0,4,6,nan,,
2015-12-10,Melbourne,Australia,Aami Park,Vance Joy,32712.0,3473851.0,32712.0,4,2,nan,,
2015-12-11,Melbourne,Australia,Aami Park,Vance Joy,32712.0,3473851.0,32712.0,4,2,nan,,
2015-12-12,Melbourne,Australia,Aami Park,Vance Joy,32712.0,3473851.0,32712.0,4,2,nan,,
2018-05-08,Glendale,United States,University Of Phoenix Stadium,"Camila Cabello
Charli XCX",59157.0,7214478.0,59157.0,5,219,nan,,
2018-05-11,Santa Clara,United States,Levi'S Stadium,"Camila Cabello
Charli XCX",53775.0,7003482.0,53775.0,5,109,nan,,
2018-05-12,Santa Clara,United States,Levi'S Stadium,"Camila Cabello
Charli XCX",53775.0,7003481.0,53775.0,5,109,nan,,
2018-05-18,Pasadena,United States,Rose Bowl,"Camila Cabello
Charli XCX",59042.0,8125990.0,59042.0,5,178,nan,,
2018-05-19,Pasadena,United States,Rose Bowl,"Camila Cabello
Charli XCX",59042.0,8125990.0,59042.0,5,178,nan,,
2018-05-22,Seattle,United States,Centurylink Field,Charli XCX,56021.0,8672219.0,56021.0,5,51,nan,,
2018-05-25,Denver,United States,Sports Authority Field At Mile High,"Camila Cabello
Charli XCX",57140.0,7926366.0,57140.0,5,196,nan,,
2018-06-01,Chicago,United States,Soldier Field,"Camila Cabello
Charli XCX",52604.0,7288349.0,52604.0,5,192,nan,,
2018-06-02,Chicago,United States,Soldier Field,"Camila Cabello
Charli XCX",52604.0,7288348.0,52604.0,5,192,nan,,
2018-06-08,Manchester,England,Etihad Stadium,"Camila Cabello
Charli XCX",38629.0,3084862.0,38629.0,5,69,nan,,
2018-06-09,Manchester,England,Etihad Stadium,"Camila Cabello
Charli XCX",38629.0,3084862.0,38629.0,5,69,nan,,
2018-06-15,Dublin,Ireland,Croke Park,"Camila Cabello
Charli XCX",66517.0,4283885.0,66517.0,5,62,nan,,
2018-06-16,Dublin,Ireland,Croke Park,"Camila Cabello
Charli XCX",66517.0,4283884.0,66517.0,5,62,nan,,
2018-06-22,London,England,Wembley Stadium,"Camila Cabello
Charli XCX",71714.0,6107467.0,71714.0,5,232,nan,,
2018-06-23,London,England,Wembley Stadium,"Camila Cabello
Charli XCX",71713.0,6107466.0,71713.0,5,232,nan,,
2018-06-30,Louisville,United States,Cardinal Stadium,"Camila Cabello
Charli XCX",52138.0,4928219.0,52138.0,5,47,nan,,
2018-07-07,Columbus,United States,Ohio Stadium,"Camila Cabello
Charli XCX",62897.0,6606529.0,62897.0,5,150,nan,,
2018-07-10,Landover,United States,Fedexfield,"Camila Cabello
Charli XCX",47836.0,5698002.0,47836.0,5,72,nan,,
2018-07-11,Landover,United States,Fedexfield,"Camila Cabello
Charli XCX",47836.0,5698002.0,47836.0,5,72,nan,,
2018-07-13,Philadelphia,United States,Lincoln Financial Field,"Camila Cabello
Charli XCX",53689.0,5975524.0,53689.0,5,111,nan,,
2018-07-14,Philadelphia,United States,Lincoln Financial Field,"Camila Cabello
Charli XCX",53689.0,5975523.0,53689.0,5,111,nan,,
2018-07-17,Cleveland,United States,Firstenergy Stadium,"Camila Cabello
Charli XCX",51323.0,5148757.0,51323.0,5,75,nan,,
2018-07-20,East Rutherford,United States,Metlife Stadium,"Camila Cabello
Charli XCX",55218.0,7343796.0,55218.0,5,129,nan,,
2018-07-21,East Rutherford,United States,Metlife Stadium,"Camila Cabello
Charli XCX",55218.0,7343795.0,55218.0,5,129,nan,,
2018-07-22,East Rutherford,United States,Metlife Stadium,"Camila Cabello
Charli XCX",55218.0,7343795.0,55218.0,5,129,nan,,
2018-07-26,Foxborough,United States,Gillette Stadium,"Camila Cabello
Charli XCX",58255.0,7259949.0,58255.0,5,88,nan,,
2018-07-27,Foxborough,United States,Gillette Stadium,"Camila Cabello
Charli XCX",58255.0,7259949.0,58255.0,5,88,nan,,
2018-07-28,Foxborough,United States,Gillette Stadium,"Camila Cabello
Charli XCX",58254.0,7259948.0,58254.0,5,88,nan,,
2018-08-03,Toronto,Canada,Rogers Centre,"Camila Cabello
Charli XCX",50155.0,5588500.0,50155.0,5,177,nan,,
2018-08-04,Toronto,Canada,Rogers Centre,"Camila Cabello
Charli XCX",50155.0,5588500.0,50155.0,5,177,nan,,
2018-08-07,Pittsburgh,United States,Heinz Field,"Camila Cabello
Charli XCX",56445.0,6230876.0,56445.0,5,92,nan,,
2018-08-10,Atlanta,United States,Mercedes-Benz Stadium,"Camila Cabello
Charli XCX",58373.0,9044708.0,58373.0,5,126,nan,,
2018-08-11,Atlanta,United States,Mercedes-Benz Stadium,"Camila Cabello
Charli XCX",58373.0,9044707.0,58373.0,5,126,nan,,
2018-08-14,Tampa,United States,Raymond James Stadium,"Camila Cabello
Charli XCX",55909.0,7244264.0,55909.0,5,171,nan,,
2018-08-18,Miami Gardens,United States,Hard Rock Stadium,"Camila Cabello
Charli XCX",47818.0,7072164.0,47818.0,5,91,nan,,
2018-08-25,Nashville,United States,Nissan Stadium,"Camila Cabello
Charli XCX",56112.0,9007179.0,56112.0,5,144,nan,,
2018-08-28,Detroit,United States,Ford Field,"Camila Cabello
Charli XCX",49464.0,6597852.0,49464.0,5,79,nan,,
2018-08-31,Minneapolis,United States,U.S. Bank Stadium,"Camila Cabello
Charli XCX",49387.0,5121012.0,49387.0,5,217,nan,,
2018-09-01,Minneapolis,United States,U.S. Bank Stadium,"Camila Cabello
Charli XCX",49387.0,5121012.0,49387.0,5,217,nan,,
2018-09-08,Kansas City,United States,Arrowhead Stadium,"Camila Cabello
Charli XCX",58611.0,6730138.0,58611.0,5,22,nan,,
2018-09-15,Indianapolis,United States,Lucas Oil Stadium,"Camila Cabello
Charli XCX",55729.0,6531245.0,55729.0,5,113,nan,,
2018-09-18,St. Louis,United States,The Dome At America'S Center,"Camila Cabello
Charli XCX",47831.0,4884054.0,47831.0,5,206,nan,,
2018-09-22,New Orleans,United States,Mercedes-Benz Superdome,"Camila Cabello
Charli XCX",53172.0,6491546.0,53172.0,5,127,nan,,
2018-09-29,Houston,United States,Nrg Stadium,"Camila Cabello
Charli XCX",53800.0,9350275.0,53800.0,5,147,nan,,
2018-10-05,Arlington,United States,At&T Stadium,"Camila Cabello
Charli XCX",52501.0,7503079.0,52501.0,5,25,nan,,
2018-10-06,Arlington,United States,At&T Stadium,"Camila Cabello
Charli XCX",52501.0,7503078.0,52501.0,5,25,nan,,
2018-10-19,Perth,Australia,Optus Stadium,"Charli XCX
Broods",50891.0,4153658.0,50891.0,5,153,nan,,
2018-10-26,Melbourne,Australia,Marvel Stadium,"Charli XCX
Broods",63027.0,6755570.0,63027.0,5,120,nan,,
2018-11-02,Sydney,Australia,Anz Stadium,"Charli XCX
Broods",72805.0,7686564.0,72805.0,5,20,nan,,
2018-11-06,Brisbane,Australia,The Gabba,"Charli XCX
Broods",43907.0,4338127.0,43907.0,5,207,nan,,
2018-11-09,Auckland,New Zealand,Mount Smart Stadium,"Charli XCX
Broods",35749.0,3617593.0,35749.0,5,134,nan,,
2018-11-20,Tokyo,Japan,Tokyo Dome,Charli XCX,50055.0,7429924.0,50055.0,5,213,nan,,
2018-11-21,Tokyo,Japan,Tokyo Dome,Charli XCX,50054.0,7429923.0,50054.0,5,213,nan,,
2023-03-17,Glendale,United States,State Farm Stadium,Paramore Gayle,70000.0,,70000.0,6,201,nan,33.527283,-112.263275
2023-03-18,Glendale,United States,State Farm Stadium,Paramore Gayle,70000.0,,70000.0,6,201,nan,33.527283,-112.263275
2023-03-24,Paradise,United States,Allegiant Stadium,Beabadoobee Gayle,,,,6,8,nan,36.090794,-115.183952
2023-03-25,Paradise,United States,Allegiant Stadium,Beabadoobee Gayle,,,,6,8,nan,36.090794,-115.183952
2023-03-31,Arlington,United States,At&T Stadium,Muna Gayle,70203.0,,70203.0,6,25,nan,32.747841,-97.093628
2023-04-01,Arlington,United States,At&T Stadium,Beabadoobee Gracie Abrams,70202.0,,70202.0,6,25,nan,32.747841,-97.093628
2023-04-02,Arlington,United States,At&T Stadium,Beabadoobee Gracie Abrams,70202.0,,70202.0,6,25,nan,32.747841,-97.093628
2023-04-13,Tampa,United States,Raymond James Stadium,Beabadoobee Gayle,68820.0,,68820.0,6,171,nan,27.975958,-82.503693
2023-04-14,Tampa,United States,Raymond James Stadium,Beabadoobee Gracie Abrams,68820.0,,68820.0,6,171,nan,27.975958,-82.503693
2023-04-15,Tampa,United States,Raymond James Stadium,Beabadoobee Gracie Abrams,68819.0,,68819.0,6,171,nan,27.975958,-82.503693
2023-04-21,Houston,United States,Nrg Stadium,Beabadoobee Gracie Abrams,72220.0,,72220.0,6,147,nan,29.68486,-95.411667
2023-04-22,Houston,United States,Nrg Stadium,Beabadoobee Gracie Abrams,72220.0,,72220.0,6,147,nan,29.68486,-95.411667
2023-04-23,Houston,United States,Nrg Stadium,Beabadoobee Gracie Abrams,72220.0,,72220.0,6,147,nan,29.68486,-95.411667
